Title,PID,file,First-broadcast,Presenter,Production,Producer,Description,Archive-details
Everything Changes,b05mpwf5,,22/3/2015,Marie-Louise Muir,Falling Tree,Alan Hall,"Change is written into our DNA. Arts broadcaster Marie-Louise Muir reflects on how we equip ourselves to deal with the inevitability that everything changes - from transformations in our physical being to less predictable shifts in our relationships - and asks whether experience makes us better at dealing with it.<br/><br/>The programme draws upon recent music by Peggy Seeger, Tim Wheeler and Irish music 'supergroup' The Gloaming, as well as extracts from books by Viv Albertine, Julian Barnes and Siri Hustvedt.<br/><br/>Readers: Julie Covington and Jonathan Keeble",
Everything Has Its Place,b010lxm9,,24/4/2011,Felicity Finch,Falling Tree,Alan Hall,"The pursuit of coherence in our lives is often mirrored in the orderly way in which we manage the clutter of our physical environment.<br/><br/>In 'Everything Has Its Place' Felicity Finch reflects on how we express this desire for neatness and order. Referring to words and music from Carol Shields, Robert Herrick and Daniel Abse, Radiohead, Mozart and Jacques Brel, and in conversation with actress Souad Faress, Felicity explores the comfort we draw from the arrangement of the objects with which we surround ourselves, the chaos thrust upon us by nature and the desire for freedom from the rigidity and limitations that order can sometimes impose.<br/><br/>With readings by Emma Fielding and Jonathan Keeble.",
Everything in the Garden,b00skqx6,,6/6/2010,Madeleine Bunting,Unique,Ronni Davis,The journalist Madeleine Bunting reflects on the appeal of gardens and gardening.,
Everything Is Music,b01gf4jv,,22/4/2012,Teresa Morgan,Falling Tree,Eleanor McDowall,"Scholar and priest Teresa Morgan examines why music is so often used to communicate the nature of our existence - from the Big Bang to the human genome. With readings from Oliver Sacks, C.S. Lewis and Milan Kundera and music from Beethoven, Olivier Messiaen and Aaron Copland.",
Exercise and sport,b007rw86,,8/7/2007,Mark Tully,,,Mark Tully considers the spiritual dimensions of exercise and sport.,
Expanding God,b007wv9k,,26/8/2007,Mike Wooldridge,,,Expanding God: Mike Wooldridge explores how our expanding knowledge of the cosmos challenges us to expand our vision of God.,
Exploration,b0474xk8,,22/6/2014,Stephen Venables,Falling Tree,Eleanor McDowall,"""There are few treasures of more lasting worth than the experiences of a way of life that is in itself wholly satisfying. Such, after all, are the only possessions of which no fate, no cosmic catastrophe, can deprive us; nothing can alter the fact if for one moment in eternity we have really lived.""<br/><br/>Drawing on these words from the explorer Eric Shipton, the British writer and mountaineer Stephen Venables considers the importance of exploration.",
Faith and Finance,m00029f6,TRUE,3/2/2019,Mark Tully,7digital,Frank Stirling,"Mark Tully sets out to examine the sometimes uneasy relationship between the management of money and religious beliefs.<br /><br />In conversation with Jain accountant and teacher Professor Atul Shah, he explores the differences between the Jain ethical system of business practice and the prevailing Western financial theory.<br /><br />There’s poetry from Philip Larkin and Benjamin Zephaniah, prose by George Eliot and music from Sanjivani Bhelande and Esperanza Spalding.<br /><br />The readers are Emily Raymond and Matt Addis.",
Faith and the Body,b0bd6xys,TRUE,5/8/2018,Jahnavi Harrison,TBI,Jonathan Mayo,"The birth of her nephew prompts musician Jahnavi Harrison to explore what she calls ""the adventure of embodiment"". She looks at how physical activities, both ritual and everyday, can lead to a state of transcendence.<br/><br/>Jahnavi explains how yoga teaches the practitioner to see the body as a temple dedicated to the glory of God; how pilgrimage, by engaging the body in repetitive movement, makes an internal journey of prayer and sacrifice easier instead of just sitting in an armchair thinking about it; and how physical work can become a spiritual blessing.<br/><br/>Readings include the wisdom of Saint Teresa of Avila and the Bhagavad Gita. The music includes tracks from George Harrison, Thomas Newman and the Monteverdi Choir.",
Faith in Numbers,b039p0tx,,8/9/2013,John McCarthy,Whistledown,Rose de Larrabeiti,"When John McCarthy was held hostage in the Lebanon he found an entirely unexpected source of sanity - numbers.<br/><br/>Five years and four months, 1 943 days - numbers always defined his time in captivity. They also enabled John to create his own safe world and maintain stability. In this deeply personal edition of Something Understood, John recalls his own surprising faith in numbers and finds others for whom numbers both comfort and inspire.<br/><br/>He discusses his experience with Frank Close, Professor of Physics at Oxford University. What is it like turning to numbers to explain the mysteries of our universe? Scientists often work intensely for years towards new discoveries, and breakthroughs are rare. Frank describes what that process is like - revealing what keeps him going if the breakthrough doesn't come.<br/><br/>Are numbers our method of explaining everything, or is there always some mystery beyond? Fellow physicist and practicing Hindu, Jay Lakhani, offers us his own unique, scientific and spiritual perspective. Numbers are deeply rooted in the Hindu faith and have been since its inception. We discover the resonance of the number zero, rooted in the Nasadiya Sukta, The Hymn of Creation - describing our journey from nothingness to something, from zero to one and then beyond.<br/><br/>Finally, what about when faith in numbers and faith in God truly coincide? We hear from a 30 year old American Christian who used to be part of the Holy Rollers, a card-counting Christian Blackjack team who used mathematics to beat the casinos. Their success relied completely on trust, within their own community and in the numbers themselves.",
Faith on the Frontline,b011p10g,TRUE,5/6/2011,Jo Fidgen,Falling Tree,Alan Hall,"The journalist Jo Fidgen examines how religious belief can be both diminished and strengthened during service on the frontline.<br/><br/>She talks with Padre Simon Rose of the Duke of Lancaster's Regiment about his experiences in Afghanistan and with Brian Turner, the American poet who served in Iraq. And she also draws upon the writings of soldiers who saw action in the First World War, including the Padre Geoffrey Studdert Kennedy, and Vietnam (the poet Yusef Komunyakaa).<br/><br/>With music by Bobby McFerrin, Sheryl Crow, Ivor Gurney and Penderecki.",
False Memories,b05xcqp9,TRUE,7/6/2015,Mark Tully,Unique,,"Mark Tully considers the consequences of mis-remembering the past. Why do people have different memories of the same event, and how can we remember things that never happened?<br/><br/>The programme includes ideas from American psychologist Elizabeth Loftus, who suggests that memory works a little bit like a Wikipedia page which you can change, but others can change too. She has warned against the dangers of certain therapies that lead to 'false memory' and unreliable accusations against innocent people.<br/><br/>In poetry, Ravi Shankar describes memories as the 'wobbly beams' on which we build our self-respect, and Carol Ann Duffy explores the dark side of a childhood misremembered.<br/><br/>Perhaps Jane Austen's heroine in Mansfield Park puts it best, when Fanny Price proclaims, ""The memory is sometimes so retentive, so serviceable, so obedient; at others, so bewildered and so weak; and at others again, so tyrannic, so beyond control!"".",
Familiarity Breeds Content,b01m9mps,TRUE,2/9/2012,Mark Tully,Unique,Frank Stirling,"Familiarity plays an important part in life. Familiar people, familiar places, familiar objects can provide us with security, strength and comfort. Why is it then that the most common phrase that we associate with the word familiarity is that it breeds contempt? Mark Tully asks whether it is actually more likely to be a source of happiness and investigates the paradox that causes this common source of contentment to be so frequently overlooked. With music by Lyle Lovett and Sir Henry Wood and with readings from Katherine Mansfield and U. A. Fanthorpe, he celebrates the pleasures of the familiar.<br/><br/>The readers are Philip Franks and Grainne Keenan.",
Family Ties,b00dtqrz,,12/10/2008,Mark Tully,,,"Mark Tully reflects on how family relationships and responsibilities shift between the generations. From becoming a parent to losing your parents, how do we experience these changes and what helps ensure that we manage them well?",
